BatchNumber,BatchSize,DurationMillis,ExitCode
10_1,10,994,0
AVERAGE_FOR_BATCHSIZE_10,994.00,1
100_1,100,883,0
100_2,100,963,0
100_3,100,905,0
100_4,100,912,0
100_5,100,970,0
100_6,100,844,0
100_7,100,804,0
100_8,100,1039,0
100_9,100,987,0
100_10,100,915,0
AVERAGE_FOR_BATCHSIZE_100,922.20,10
100_1,100,859,0
100_2,100,795,0
AVERAGE_FOR_BATCHSIZE_100,827.00,2
1000_1,1000,923,0
1000_2,1000,1017,0
1000_3,1000,907,0
1000_4,1000,963,0
1000_5,1000,908,0
1000_6,1000,849,0
1000_7,1000,848,0
1000_8,1000,1014,0
1000_9,1000,1029,0
1000_10,1000,1060,0
AVERAGE_FOR_BATCHSIZE_1000,951.80,10
1000_1,1000,870,0
1000_2,1000,1012,0
AVERAGE_FOR_BATCHSIZE_1000,941.00,2
