BatchNumber,BatchSize,DurationMillis,ExitCode
10_1,10,927,0
AVERAGE_FOR_BATCHSIZE_10,927.00,1
100_1,100,965,0
100_2,100,946,0
100_3,100,969,0
100_4,100,1000,0
100_5,100,976,0
100_6,100,934,0
100_7,100,1023,0
100_8,100,971,0
100_9,100,1110,0
100_10,100,988,0
AVERAGE_FOR_BATCHSIZE_100,988.20,10
1000_1,1000,1000,0
1000_2,1000,1144,0
1000_3,1000,1050,0
1000_4,1000,986,0
1000_5,1000,1034,0
1000_6,1000,1040,0
1000_7,1000,989,0
1000_8,1000,1080,0
1000_9,1000,1005,0
1000_10,1000,881,0
1000_11,1000,886,0
1000_12,1000,859,0
1000_13,1000,921,0
1000_14,1000,960,0
1000_15,1000,1046,0
1000_16,1000,1016,0
1000_17,1000,984,0
1000_18,1000,1084,0
1000_19,1000,985,0
1000_20,1000,974,0
AVERAGE_FOR_BATCHSIZE_1000,996.20,20
10000_1,10000,1001,0
10000_2,10000,984,0
10000_3,10000,1048,0
10000_4,10000,1028,0
10000_5,10000,1029,0
10000_6,10000,1163,0
10000_7,10000,981,0
10000_8,10000,1018,0
10000_9,10000,1101,0
10000_10,10000,1086,0
10000_11,10000,1025,0
10000_12,10000,1016,0
10000_13,10000,918,0
10000_14,10000,870,0
10000_15,10000,995,0
10000_16,10000,901,0
10000_17,10000,924,0
10000_18,10000,982,0
10000_19,10000,874,0
10000_20,10000,1008,0
10000_21,10000,920,0
10000_22,10000,918,0
10000_23,10000,933,0
10000_24,10000,934,0
10000_25,10000,1026,0
10000_26,10000,897,0
10000_27,10000,916,0
10000_28,10000,915,0
10000_29,10000,904,0
10000_30,10000,944,0
10000_31,10000,878,0
10000_32,10000,949,0
10000_33,10000,908,0
10000_34,10000,939,0
10000_35,10000,927,0
10000_36,10000,888,0
10000_37,10000,916,0
10000_38,10000,959,0
10000_39,10000,881,0
10000_40,10000,943,0
10000_41,10000,898,0
10000_42,10000,897,0
10000_43,10000,929,0
10000_44,10000,920,0
10000_45,10000,936,0
10000_46,10000,885,0
10000_47,10000,950,0
10000_48,10000,875,0
10000_49,10000,866,0
10000_50,10000,868,0
10000_51,10000,893,0
10000_52,10000,886,0
10000_53,10000,922,0
10000_54,10000,947,0
10000_55,10000,896,0
10000_56,10000,864,0
10000_57,10000,1056,0
10000_58,10000,959,0
10000_59,10000,893,0
10000_60,10000,894,0
10000_61,10000,917,0
10000_62,10000,903,0
10000_63,10000,941,0
10000_64,10000,948,0
10000_65,10000,879,0
10000_66,10000,910,0
10000_67,10000,868,0
10000_68,10000,893,0
10000_69,10000,861,0
10000_70,10000,905,0
10000_71,10000,960,0
10000_72,10000,889,0
10000_73,10000,918,0
10000_74,10000,922,0
10000_75,10000,923,0
10000_76,10000,855,0
10000_77,10000,927,0
10000_78,10000,877,0
10000_79,10000,931,0
10000_80,10000,879,0
10000_81,10000,884,0
10000_82,10000,905,0
10000_83,10000,945,0
10000_84,10000,854,0
10000_85,10000,883,0
10000_86,10000,921,0
10000_87,10000,855,0
10000_88,10000,950,0
10000_89,10000,920,0
10000_90,10000,991,0
10000_91,10000,984,0
10000_92,10000,894,0
10000_93,10000,948,0
10000_94,10000,906,0
10000_95,10000,915,0
10000_96,10000,913,0
10000_97,10000,910,0
10000_98,10000,907,0
10000_99,10000,958,0
10000_100,10000,941,0
AVERAGE_FOR_BATCHSIZE_10000,931.71,100
