BatchNumber,BatchSize,DurationMillis,ExitCode
10_1,10,880,0
AVERAGE_FOR_BATCHSIZE_10,880.00,1
100_1,100,863,12
100_2,100,931,0
100_3,100,879,0
100_4,100,925,0
100_5,100,839,12
100_6,100,840,12
100_7,100,898,0
100_8,100,1012,12
100_9,100,804,12
100_10,100,895,12
AVERAGE_FOR_BATCHSIZE_100,888.60,10
100_1,100,839,12
100_2,100,892,0
AVERAGE_FOR_BATCHSIZE_100,865.50,2
1000_1,1000,1041,12
1000_2,1000,1058,12
1000_3,1000,1088,12
1000_4,1000,1039,12
1000_5,1000,1023,12
1000_6,1000,976,12
1000_7,1000,993,12
1000_8,1000,940,12
1000_9,1000,1106,12
1000_10,1000,964,12
AVERAGE_FOR_BATCHSIZE_1000,1022.80,10
1000_1,1000,1184,12
1000_2,1000,976,12
AVERAGE_FOR_BATCHSIZE_1000,1080.00,2
