BatchNumber,BatchSize,DurationMillis,ExitCode
10_1,10,883,0
AVERAGE_FOR_BATCHSIZE_10,883.00,1
100_1,100,886,0
100_2,100,888,0
100_3,100,939,0
100_4,100,873,0
100_5,100,844,0
100_6,100,841,0
100_7,100,893,0
100_8,100,821,0
100_9,100,855,0
100_10,100,854,0
AVERAGE_FOR_BATCHSIZE_100,869.40,10
100_1,100,977,0
100_2,100,966,0
AVERAGE_FOR_BATCHSIZE_100,971.50,2
1000_1,1000,854,0
1000_2,1000,1063,0
1000_3,1000,1059,0
1000_4,1000,1018,0
1000_5,1000,849,0
1000_6,1000,871,0
1000_7,1000,875,0
1000_8,1000,903,0
1000_9,1000,1027,0
1000_10,1000,936,0
AVERAGE_FOR_BATCHSIZE_1000,945.50,10
1000_1,1000,1583,0
1000_2,1000,1265,0
AVERAGE_FOR_BATCHSIZE_1000,1424.00,2
